model,rmse,mae,mape
Zero-Shot TimeGPT,257.0952035782421,199.47684877604172,3.7728194503348336
Few-Shot TimeGPT,368.80544088112634,308.42015617187485,5.8087767804967685
One-Shot TimeGPT,511.47293540577243,434.66300533854167,8.173297015194704
