model,model_type,total_return,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,information_ratio,max_drawdown,win_rate,total_trades,market_return
ARIMA/SARIMAX,statistical,-0.39322589875588565,-0.4556740992421515,0.20415663513483112,-2.2319828054631228,-2.2883765769139144,-1.1323636713237206,-1.9714290310619176,-0.40240967701610697,0.4396135265700483,131,0.010900378747457085
LSTM,deep_learning,-0.23614362114608756,-0.27959043118290183,0.2087588821371339,-1.3392983729393542,-1.4670048563790032,-0.9919641528839461,-1.059161218117109,-0.28185537790861304,0.47342995169082125,131,0.010900378747457085
TimeGPT-Zero-Shot TimeGPT,foundation_model,-0.15230003820137572,-0.1822084215160984,0.2037962475399507,-0.8940715234728726,-1.0042145350086993,-1.0282612124790675,-0.590926748775056,-0.1772005199698298,0.40096618357487923,132,0.010900378747457085
TimeGPT-Few-Shot TimeGPT,foundation_model,0.06795748165909377,0.08333143624526151,0.1907815795904451,0.4367897384231271,0.44460457691203775,0.6337788757230068,0.18995644817772617,-0.13148345493560049,0.46859903381642515,131,0.010900378747457085
TimeGPT-One-Shot TimeGPT,foundation_model,-0.1454720471796238,-0.17418235275576033,0.2032314132086286,-0.8570641221539519,-0.9249327398126681,-0.8015871256678119,-0.5759635514517225,-0.21729684419600293,0.41545893719806765,136,0.010900378747457085
